search_term,date_searched,url,title,urn,urn_type,country,state,municipality,justice,region,court_class,document_type_full,promulgation_date,document_description
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954308,Contratos de fletamento. Descripción de las responsabilidades de los fletadores de buques y coberturas disponibles. Sistema jurídico argentino,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954308,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000954308,2011,"Artigo.Revista Rede.Virtual.Bibliotecas 1000954308, promulgada em 2011, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000609424,O afretamento a casco nu de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2001;2000609424,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 2000609424,2001,"Artigo.Revista Rede.Virtual.Bibliotecas 2000609424, promulgada em 2001, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:2007;000775279,Contratos de afretamento à luz dos direitos inglês e brasileiro,urn:lex:br:rede.virtual.bibliotecas:livro:2007;000775279,legislation,Brasil,,,,,,Livro Rede.Virtual.Bibliotecas 000775279,2007,"Livro Rede.Virtual.Bibliotecas 000775279, promulgada em 2007, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023172,A natureza jurídica dos contratos de afretamento de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023172,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1001023172,2014,"Artigo.Revista Rede.Virtual.Bibliotecas 1001023172, promulgada em 2014, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:1956;000102163,El contrato de fletamento en el derecho venezolano,urn:lex:br:rede.virtual.bibliotecas:livro:1956;000102163,legislation,Brasil,,,,,,Livro Rede.Virtual.Bibliotecas 000102163,1956,"Livro Rede.Virtual.Bibliotecas 000102163, promulgada em 1956, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1995;1000525162,Notazioni negative e positive sul regolamento recante norme per l'esercizio della locazione e del noleggio delle unita da diporto,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1995;1000525162,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000525162,1995,"Artigo.Revista Rede.Virtual.Bibliotecas 1000525162, promulgada em 1995, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954172,Aspectos de transporte marítimo internacional de mercadorias,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2011;1000954172,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000954172,2011,"Artigo.Revista Rede.Virtual.Bibliotecas 1000954172, promulgada em 2011, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2012;1000943251,Contratos no direito marítimo,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2012;1000943251,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000943251,2012,"Artigo.Revista Rede.Virtual.Bibliotecas 1000943251, promulgada em 2012, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981819,Afretamento a casco nu (Bare boat charter) e por tempo (Time charter). Não incidência do Imposto sobre Operações relativas à Circulação de Mercadorias e Serviços de Transporte Intermunicipal e Interestadual e de Comunicação (ICMS) e do Imposto sobre Serviços (ISS),urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981819,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000981819,2013,"Artigo.Revista Rede.Virtual.Bibliotecas 1000981819, promulgada em 2013, Brasil"
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981822,A natureza jurídica do contrato de afretamento por viagem e seus desdobramentos tributários,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981822,legislation,Brasil,,,,,,Artigo.Revista Rede.Virtual.Bibliotecas 1000981822,2013,"Artigo.Revista Rede.Virtual.Bibliotecas 1000981822, promulgada em 2013, Brasil"
