"id","titulo","sentiment_score","sentiment_category","strictness_index","regulatory_style"
81715,"INSTRUÇÃONORMATIVASRF Nº 208, de 27 de setembro de 2002",0,"Neutral",0,"Balanced"
131839,"AgRg no REsp 1322716 / SP",0,"Neutral",1,"Balanced"
94207,"Acórdão do processo Nº AIRR e RR - 787822-65.2001.5.03.5555",-0.2,"Negative",1,"Balanced"
57863,"Acórdão do processo Nº RR - 88400-97.2005.5.04.0221",0.333333333333333,"Positive",3,"Prescriptive"
69409,"AI 173531 AgR / SP - SÃO PAULO",0,"Neutral",0,"Balanced"
119739,"Acórdão nº 527162 do Processo nº20090111287220apc",-1,"Negative",5,"Prescriptive"
67334,"Acórdão nº 169417 do Processo nº20010020077664adi",0.333333333333333,"Positive",-1,"Balanced"
65908,"Lei nº 279, de 17 de novembro de 1948",0,"Neutral",0,"Balanced"
111790,"Triplaresponsabilidadeambiental no Brasil",1,"Positive",1,"Balanced"
12037,"AgInt no AREsp 1138520 / PR",1,"Positive",0,"Balanced"
127132,"Acórdão nº 3402-006.667 do Processo 13819.721751/2015-85",1,"Positive",0,"Balanced"
43196,"RESOLUÇÃO nº 094, de 31/03/1998",0,"Neutral",1,"Balanced"
115328,"Lei nº 23221, de 28 de dezembro de 2018",0,"Neutral",-2,"Flexible"
75758,"Acórdão nº 107-09.427 do Processo 16327.001499/2005-42",0.333333333333333,"Positive",0,"Balanced"
26861,"Acórdão PJe TRT 3ª / Quinta Turma / 2019-06-12",0,"Neutral",0,"Balanced"
57256,"Acórdão do processo Nº AIRR - 97000-29.2010.5.21.0005",-1,"Negative",0,"Balanced"
106371,"Lei n° 1163, de 11 de Setembro de 2018",0,"Neutral",0,"Balanced"
110448,"Resoluçãon° 308,  de 03 de Fevereiro de 2005",0,"Neutral",0,"Balanced"
82821,"InstruçãoNormativaSRF Nº 53, de 12 de dezembro de 1975",0,"Neutral",0,"Balanced"
131202,"Acórdão do processo Nº RR - 354-78.2015.5.10.0007",-1,"Negative",7,"Prescriptive"
110384,"ResoluçãoSTJ n. 23 de 3 de dezembro de 2014",0,"Neutral",0,"Balanced"
91171,"[ Projeto de Lei do Senado nº 773/2015 > Projeto de Lei (CD) nº 5751/2016 > Projeto de Lei nº 3725/2019 (Emenda-CD) ]",0,"Neutral",-1,"Balanced"
82463,"INSTRUÇÃONORMATIVASRF Nº 83, de 30 de setembro de 1993",0,"Neutral",0,"Balanced"
89330,"Lei Municipal nº 816, de 17 de dezembro de 2010",0,"Neutral",1,"Balanced"
60231,"Lei nº 4.463, de 18/12/1984",-1,"Negative",0,"Balanced"
102380,"Acórdão PJe TRT 3ª / 1a Secao de Dissidios Individuais / 2016-05-31",1,"Positive",-1,"Balanced"
30366,"REsp 59971 / RJ",0,"Neutral",0,"Balanced"
92109,"Acórdão do processo Nº ARR - 191-23.2011.5.04.0002",0,"Neutral",0,"Balanced"
77943,"Decreto nº 36706, de 28 de agosto de 2015",0,"Neutral",0,"Balanced"
73662,"Acórdão nº 1101-000.340 do Processo 10070.002432/2003-36",0,"Neutral",1,"Balanced"
83518,"InstruçãoNormativaSRF Nº 134, de 19 de dezembro de 1989",0,"Neutral",0,"Balanced"
6106,"Cuidado ao emprestar seu carro ou a oferecer carona",-1,"Negative",0,"Balanced"
129194,"Decreto nº 33.237, de 08/05/1991",0,"Neutral",0,"Balanced"
110363,"Resoluçãon. 239, de 22 de julho de 2022",0,"Neutral",0,"Balanced"
20060,"AgRg no AREsp 2359221 / AL",-1,"Negative",1,"Balanced"
89258,"ACÓRDÃO TCU 1296/2003",0,"Neutral",1,"Balanced"
24195,"Acórdão do processo Nº RR - 144240-19.2002.5.02.0071",0,"Neutral",0,"Balanced"
110549,"Resoluçãodo Senado Federal nº 36 de 13/12/2001",1,"Positive",-1,"Balanced"
57270,"ACÓRDÃO TRT 1ª  / OITAVA TURMA / 0022000-65.2005.5.01.0066 - DOERJ 11-06-2008",0,"Neutral",0,"Balanced"
125121,"RE 1056756 AgR / PE - PERNAMBUCO",1,"Positive",0,"Balanced"
80420,"Lei Municipal nº 6.127, de 12 de junho de 2019",0,"Neutral",-2,"Flexible"
71441,"Decreto nº 14.953, de 17 de Agosto de 1921",0,"Neutral",0,"Balanced"
52793,"Decreto nº 9.968, de 26 de Dezembro de 1912",-1,"Negative",0,"Balanced"
108916,"Resoluçãon° 1078,  de 20 de Dezembro de 2016",0,"Neutral",0,"Balanced"
10703,"A utilização da inteligência artificial no processo de tomada de decisões",-0.333333333333333,"Negative",0,"Balanced"
93711,"ACÓRDÃO TRT 1ª  / 9ª Turma / 0165200-36.2009.5.01.0343 - DOERJ 24-11-2014",0,"Neutral",0,"Balanced"
123974,"ACORDÃO TRT 16ª / Tribunal Pleno / RO 0256900-08.2004.5.16.0002",0,"Neutral",-2,"Flexible"
78277,"Decreto nº 16398,  de 24 de Setembro de 2008",0,"Neutral",0,"Balanced"
121992,"AR 6036 / SP",-0.333333333333333,"Negative",5,"Prescriptive"
115497,"Lei nº 3.055, de 03/11/1981",0,"Neutral",0,"Balanced"
28765,"Lei Municipal nº 3.486, de 03 de fevereiro de 2017",0,"Neutral",0,"Balanced"
23654,"Acórdão PJe TRT 3ª / Segunda Turma / 2024-04-15",0,"Neutral",0,"Balanced"
40123,"A responsabilidade civil ambiental pós-consumo como instrumento de tutela do meio ambiente urbano",1,"Positive",0,"Balanced"
18513,"RE 1267993 AgR / SC - SANTA CATARINA",1,"Positive",0,"Balanced"
5403,"Acórdão nº 776254 do Processo nº20100710245407apc",0,"Neutral",0,"Balanced"
76208,"Decreto nº 39684, de 25 de junho de 1998",0,"Neutral",0,"Balanced"
99357,"Decreto nº 35751, de 27 de julho de 1994",0,"Neutral",0,"Balanced"
104426,"Lei Ordinária n° 6921,  de 16 de Dezembro de 2008",0,"Neutral",0,"Balanced"
7478,"Acórdão nº 195262 do Processo nº20040910013747acj",-1,"Negative",3,"Prescriptive"
90268,"Acórdão nº 3102-00.268 do Processo 10074.000192/2005-67",0,"Neutral",2,"Prescriptive"
101345,"Decreto-Lei nº 9.213, de 29 de Abril de 1946",0,"Neutral",0,"Balanced"
37196,"Decretonº 57.825, de 16 de Fevereiro de 1966",0,"Neutral",0,"Balanced"
110519,"Resoluçãon. 106, de 31 de janeiro de 2019",0,"Neutral",0,"Balanced"
121590,"Acórdão nº 388580 do Processo nº20090110454316apc",1,"Positive",2,"Prescriptive"
66419,"Decreto n° 2270,  de 10 de Janeiro de 1997",0,"Neutral",1,"Balanced"
58471,"Du regime des travaux publiques en Angleterre",0,"Neutral",0,"Balanced"
24949,"RESOLUÇÃO HOMOLOGATÓRIA nº 3216, de 07/07/2023",0,"Neutral",0,"Balanced"
40789,"RE 96489 / PR - PARANÁ",0,"Neutral",-1,"Balanced"
14536,"Acórdão nº 3401-003.162 do Processo 10831.013070/2007-83",0,"Neutral",-1,"Balanced"
1033,"Acórdão nº 847105 do Processo nº20140110823802acj",-1,"Negative",0,"Balanced"
109737,"Resoluçãon° 289, de 30 de Junho de 2011",0,"Neutral",0,"Balanced"
17468,"Acórdão nº 9101-004.347 do Processo 10980.008740/2002-21",1,"Positive",0,"Balanced"
51342,"Decreto nº 81.889, de 5 de Julho de 1978",-1,"Negative",0,"Balanced"
27966,"Acórdão do processo Nº AIRR - 105-07.2015.5.03.0013",0,"Neutral",0,"Balanced"
103235,"One environment under law",0,"Neutral",0,"Balanced"
122554,"PL 5618/2023",0,"Neutral",0,"Balanced"
57363,"Acórdão nº 108-05338 do Processo 10945.002153/95-92",0,"Neutral",0,"Balanced"
94594,"ACÓRDÃO TRT 1ª  / 1ª Turma / 0009500-25.2007.5.01.0024 - DOERJ 15-06-2010",-1,"Negative",0,"Balanced"
38618,"Direito aodesenvolvimento",1,"Positive",0,"Balanced"
43441,"RESOLUÇÃO HOMOLOGATÓRIA nº 2283, de 04/08/2017",0,"Neutral",0,"Balanced"
18372,"AgInt no AREsp 1261593 / DF",1,"Positive",2,"Prescriptive"
57704,"Acórdão do processo Nº AIRR - 779317-58.2001.5.04.5555",-1,"Negative",-2,"Flexible"
106755,"Acórdão nº 286468 do Processo nº20050020083399adi",0,"Neutral",-1,"Balanced"
70522,"REsp 196603 / SP",1,"Positive",0,"Balanced"
20742,"Acórdão do processo Nº RR - 37100-90.2008.5.03.0101",0,"Neutral",-1,"Balanced"
116332,"Decreto nº 20096, de 2 de outubro de 1979",0,"Neutral",1,"Balanced"
69847,"Decreto nº 83.488, de 22 de Maio de 1979",0,"Neutral",0,"Balanced"
82029,"InstruçãoNormativaRFB Nº 1664, de 11 de outubro de 2016",0,"Neutral",0,"Balanced"
54145,"Lei Municipal nº 1.171, de 22 de abril de 1988",0,"Neutral",-1,"Balanced"
90116,"Acórdão nº 573109 do Processo nº20080110464979apc",-1,"Negative",0,"Balanced"
37105,"Decretonº 14.321, de 21 de Dezembro de 1943",0,"Neutral",-1,"Balanced"
125209,"Acórdão nº 3401-007.882 do Processo 11128.730405/2013-89",-1,"Negative",3,"Prescriptive"
50894,"Decreto nº 58.972, de 2 de Agosto de 1966",0,"Neutral",-1,"Balanced"
90086,"Acórdão nº 463895 do Processo nº20100110663413apc",-1,"Negative",0,"Balanced"
28082,"Emenda a Lei Orgânica Municipal n° 1212,  de 25 de Setembro de 1973",0,"Neutral",-1,"Balanced"
35517,"Decretonº 66.106, de 22 de Janeiro de 1970",-1,"Negative",0,"Balanced"
80339,"Lei Municipal nº 2.585, de 16 de fevereiro de 2018",1,"Positive",-2,"Flexible"
120966,"Acórdão nº 521408 do Processo nº20070310432902apc",0,"Neutral",0,"Balanced"
101794,"Acórdão nº 303-35.686 do Processo 13851.001863/2002-03",-1,"Negative",1,"Balanced"
42499,"Acórdão do processo Nº RR - 135500-25.2007.5.04.0303",0.2,"Positive",1,"Balanced"
61900,"Decreto nº 84.711, de 14 de Maio de 1980",0,"Neutral",0,"Balanced"
3452,"Decreto nº 46917, de 22 de dezembro de 2015",0,"Neutral",0,"Balanced"
14925,"Acórdão nº 442546 do Processo nº20100910036342acj",-1,"Negative",-3,"Flexible"
107119,"RESOLUÇÃOnº 119, de 26/03/2003",0,"Neutral",0,"Balanced"
127190,"Acórdão PJe TRT 3ª / Sexta Turma / 2019-03-29",0,"Neutral",-1,"Balanced"
85987,"A ratificação do convênio Icm-65/88 e sua inconstitucionalidade",0,"Neutral",0,"Balanced"
9780,"RMS 13378 / RJ - RIO DE JANEIRO",0,"Neutral",0,"Balanced"
8586,"Acórdão nº 443177 do Processo nº20091210000878acj",0,"Neutral",2,"Prescriptive"
29488,"RESOLUÇÃO HOMOLOGATÓRIA nº 1035, de 06/08/2010",0,"Neutral",1,"Balanced"
127595,"Acórdão do processo Nº RR - 13400-27.2009.5.04.0003",0,"Neutral",0,"Balanced"
94138,"Acórdão do processo Nº AIRR - 132600-15.1998.5.04.0811",0,"Neutral",0,"Balanced"
