search_term,date_searched,url,title,urn
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981838,"Impossibilidade, no ordenamento jurídico brasileiro, de se importar embarcação estrangeira de Apoio Marítimo com base em contrato de Ship Management Agreement em substituição ao contrato de afretamento",urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2013;1000981838
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023169,Gargalos da indústria de apoio marítimo no Brasil,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2014;1001023169
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:decreto:2007-07-17;7707,"Decreto do Executivo n° 7707, de 17 de Julho de 2007",urn:lex:br;minas.gerais;divinopolis:municipal:decreto:2007-07-17;7707
fretamento,2025-06-06 12:27:41,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1997;1000550655,Tratamento tributario das atividades de apoio maritimo atraves de contratos de afretamento de embarcações,urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1997;1000550655
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br:congresso.nacional:medida.provisoria;mpv:2021-05-19;1050,MPV 1050/2021,urn:lex:br:congresso.nacional:medida.provisoria;mpv:2021-05-19;1050
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;arinos:municipal:lei:1971-04-29;100,"Lei n° 100, de 29 de Abril de 1971",urn:lex:br;minas.gerais;arinos:municipal:lei:1971-04-29;100
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;itabirito:municipal:lei:1996-03-27;1951,"Lei n° 1951, de 27 de Março de 1996",urn:lex:br;minas.gerais;itabirito:municipal:lei:1996-03-27;1951
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo:estadual:decreto:2012-05-30;58093,"Decreto nº 58.093, de 30/05/2012",urn:lex:br;sao.paulo:estadual:decreto:2012-05-30;58093
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;minas.gerais;divinopolis:municipal:lei:1957-08-02;416,"Lei Ordinária n° 416, de 02 de Agosto de 1957",urn:lex:br;minas.gerais;divinopolis:municipal:lei:1957-08-02;416
caminhão,2025-06-06 12:27:43,https://www.lexml.gov.br/urn/urn:lex:br;sao.paulo;campinas:municipal:decreto:1981-12-03;6812,"Decreto nº 6812, de 03 de Dezembro de 1981",urn:lex:br;sao.paulo;campinas:municipal:decreto:1981-12-03;6812
